Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Positive Case Facebook,Chrome 108.0.0.0,,,2023-01-05 13:50:23,2023-01-05 13:50:48,25.216s,PASSED
,,,,,,,
Test Cases/Go to Facebook,Chrome 108.0.0.0,,,2023-01-05 13:50:23,2023-01-05 13:50:28,4.529s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-05 13:50:24,2023-01-05 13:50:26,2.170s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 108.0.0.0,,,2023-01-05 13:50:26,2023-01-05 13:50:28,1.853s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-05 13:50:28,2023-01-05 13:50:28,0.154s,PASSED
,,,,,,,
Test Cases/Login/Login Success,Chrome 108.0.0.0,,,2023-01-05 13:50:28,2023-01-05 13:50:48,20.440s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:50:28,2023-01-05 13:50:29,0.395s,PASSED
"click(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:50:29,2023-01-05 13:50:29,0.397s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Email""), email)",Chrome 108.0.0.0,,,2023-01-05 13:50:29,2023-01-05 13:50:30,0.775s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:30,2023-01-05 13:50:33,3.105s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:33,2023-01-05 13:50:33,0.545s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:50:33,2023-01-05 13:50:34,0.472s,PASSED
"click(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:50:34,2023-01-05 13:50:34,0.458s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Password""), password)",Chrome 108.0.0.0,,,2023-01-05 13:50:34,2023-01-05 13:50:35,0.859s,PASSED
"click(findTestObject(""Page Login Facebook/Show Password""))",Chrome 108.0.0.0,,,2023-01-05 13:50:35,2023-01-05 13:50:36,0.464s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:36,2023-01-05 13:50:39,3.009s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:39,2023-01-05 13:50:39,0.636s,PASSED
"click(findTestObject(""Page Login Facebook/Button Login""))",Chrome 108.0.0.0,,,2023-01-05 13:50:39,2023-01-05 13:50:40,0.347s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:50:40,2023-01-05 13:50:43,3.016s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:50:43,2023-01-05 13:50:48,5.540s,PASSED
