Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Positive Case Facebook,Chrome 108.0.0.0,,,2023-01-05 13:44:35,2023-01-05 13:44:59,24.526s,PASSED
,,,,,,,
Test Cases/Go to Facebook,Chrome 108.0.0.0,,,2023-01-05 13:44:35,2023-01-05 13:44:39,4.001s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-05 13:44:35,2023-01-05 13:44:37,2.137s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 108.0.0.0,,,2023-01-05 13:44:37,2023-01-05 13:44:39,1.362s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-05 13:44:39,2023-01-05 13:44:39,0.159s,PASSED
,,,,,,,
Test Cases/Login/Login Success,Chrome 108.0.0.0,,,2023-01-05 13:44:39,2023-01-05 13:44:59,20.272s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:44:39,2023-01-05 13:44:40,0.569s,PASSED
"click(findTestObject(""Page Login Facebook/Input Email""))",Chrome 108.0.0.0,,,2023-01-05 13:44:40,2023-01-05 13:44:40,0.518s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Email""), email)",Chrome 108.0.0.0,,,2023-01-05 13:44:41,2023-01-05 13:44:41,0.834s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:44:41,2023-01-05 13:44:44,3.098s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:44:44,2023-01-05 13:44:45,0.433s,PASSED
"focus(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:44:45,2023-01-05 13:44:45,0.460s,PASSED
"click(findTestObject(""Page Login Facebook/Input Password""))",Chrome 108.0.0.0,,,2023-01-05 13:44:45,2023-01-05 13:44:46,0.393s,PASSED
"setText(findTestObject(""Page Login Facebook/Input Password""), password)",Chrome 108.0.0.0,,,2023-01-05 13:44:46,2023-01-05 13:44:47,0.934s,PASSED
"click(findTestObject(""Page Login Facebook/Show Password""))",Chrome 108.0.0.0,,,2023-01-05 13:44:47,2023-01-05 13:44:47,0.404s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:44:47,2023-01-05 13:44:50,3.002s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:44:50,2023-01-05 13:44:51,0.502s,PASSED
"click(findTestObject(""Page Login Facebook/Button Login""))",Chrome 108.0.0.0,,,2023-01-05 13:44:51,2023-01-05 13:44:51,0.362s,PASSED
delay(delaySlow),Chrome 108.0.0.0,,,2023-01-05 13:44:51,2023-01-05 13:44:54,3.010s,PASSED
takeScreenshot(),Chrome 108.0.0.0,,,2023-01-05 13:44:54,2023-01-05 13:44:59,5.272s,PASSED
